ronda,gas_real,tiempo_confirmacion,tiempo_total_con_commit,timestamp
1,160224,1.956653118133545,86.76410865783691,1772992339.2345154
2,160224,1.1911580562591553,88.42888569831848,1772992439.1604912
3,160224,3.7463057041168213,94.08188271522522,1772992544.1613843
4,160224,0.35071635246276855,92.39779591560364,1772992649.0778463
5,160224,1.2863588333129883,93.96196246147156,1772992759.0725317
6,160224,3.670839548110962,97.80453157424927,1772992869.0791507
7,160224,3.2001607418060303,102.05529189109802,1772992984.1752493
8,160224,2.580005407333374,97.65889620780945,1772993094.1422026
9,160224,2.0290777683258057,93.41690397262573,1772993199.1042721
10,160224,1.5996143817901611,97.46088981628418,1772993309.0890872
11,160224,1.7075679302215576,113.9276111125946,1772993434.062212
12,160224,2.415424346923828,98.11803793907166,1772993544.0630903
13,160224,1.4994308948516846,94.35509133338928,1772993650.5106013
14,160224,3.5635998249053955,89.77647614479065,1772993750.5315564
15,160224,2.6354429721832275,89.18328309059143,1772993855.1270745
16,160224,1.701871395111084,94.13697624206543,1772993960.1593394
18,160224,1.3666877746582031,87.87465381622314,1772994151.0563366
19,160224,1.7101259231567383,84.68732953071594,1772994246.1778455
20,160224,1.8960809707641602,84.33488297462463,1772994341.088526
21,160224,0.9690959453582764,84.47309494018555,1772994436.107306
22,160224,4.600733995437622,88.88709139823914,1772994536.0675797
23,160224,3.872796058654785,89.50520873069763,1772994636.1250167
24,160224,1.579507827758789,84.57540464401245,1772994731.143751
25,160224,3.1565299034118652,88.91944479942322,1772994831.1460235
26,160224,1.4898333549499512,88.92035436630249,1772994931.0665026
27,160224,4.179600954055786,89.50873494148254,1772995031.0455394
28,160224,4.18408989906311,89.24833393096924,1772995131.0756805
29,160224,3.140904188156128,89.34671378135681,1772995231.0683172
30,160224,5.121879816055298,89.34451985359192,1772995331.1177943
