ronda,gas_consumido,tiempo_confirmacion_seg,tiempo_total_ronda_seg,timestamp
1,184560,4.210735082626343,0.17348361015319824,1772616171.1461568
2,167460,4.835284471511841,0.05749034881591797,1772616256.0977209
3,167460,4.725173234939575,0.09872317314147949,1772616341.0630434
4,167460,4.812671899795532,0.06162834167480469,1772616431.1552818
5,167460,4.716826438903809,0.06225848197937012,1772616526.0538795
6,167460,4.758064270019531,0.05544328689575195,1772616621.0680447
7,167460,4.781856060028076,0.06138038635253906,1772616711.1019485
8,167460,4.883464336395264,0.05372357368469238,1772616806.1404188
9,167460,4.805162191390991,0.05905556678771973,1772616901.0512264
10,167460,4.7983949184417725,0.07607746124267578,1772616996.0985441
11,167460,4.876290798187256,0.06181669235229492,1772617091.121066
12,167460,4.910158395767212,0.05073904991149902,1772617186.1113079
13,167460,4.832887649536133,0.0692758560180664,1772617286.1023257
14,167460,4.730190992355347,0.06715607643127441,1772617391.042869
15,167460,4.868271827697754,0.061216115951538086,1772617491.1098518
16,167460,4.7907843589782715,0.06016659736633301,1772617581.0351763
17,167460,4.770372152328491,0.08121132850646973,1772617676.0973465
18,167460,4.700117826461792,0.1293182373046875,1772617796.1063952
19,167460,4.758018493652344,0.08146333694458008,1772618654.0682
20,167460,4.803107976913452,0.06552267074584961,1772618744.0677238
21,167460,4.788849830627441,0.05678892135620117,1772618834.038924
22,167460,4.825188875198364,0.07156181335449219,1772618924.083804
23,167460,4.7971861362457275,0.11565566062927246,1772619019.1224713
24,167460,4.738513231277466,0.06644725799560547,1772619114.0335786
25,167460,4.842450857162476,0.06458759307861328,1772619214.0369477
26,167460,4.815659284591675,0.05643296241760254,1772619309.097381
27,167460,4.832107782363892,0.06565690040588379,1772619404.0323105
28,167460,4.834934711456299,0.05822277069091797,1772619499.1018205
29,167460,4.825158596038818,0.06609463691711426,1772619599.1087134
30,167460,4.8419294357299805,0.05721640586853027,1772619704.136913
